"ID";"COUNTRY";"CHOICE_ID";"INFO";"MEASURE"
1;6;1;"A";"IV"
2;2;1;"A";"IV"
3;2;1;"A";"IV"
4;2;1;"A";"IV"
5;2;1;"A";"IV"
6;2;2;"B";"III"
7;2;2;"B";"III"
8;2;1;"A";"IV"
9;2;1;"A";"IV"
10;2;1;"A";"IV"
11;2;2;"B";"III"
12;2;2;"B";"III"
13;2;2;"B";"III"
14;2;1;"A";"IV"
15;2;2;"B";"III"
16;2;1;"A";"IV"
17;2;2;"B";"III"
18;2;2;"B";"III"
19;2;1;"A";"IV"
20;2;2;"B";"III"
21;2;2;"B";"III"
22;2;1;"A";"IV"
23;2;1;"A";"IV"
24;2;2;"B";"III"
25;2;2;"B";"III"
26;2;2;"B";"III"
27;2;2;"B";"III"
28;2;1;"A";"IV"
29;2;2;"B";"III"
30;2;1;"A";"IV"
31;2;2;"B";"III"
32;2;2;"B";"III"
33;2;2;"B";"III"
34;2;1;"A";"IV"
35;2;1;"A";"IV"
36;2;2;"B";"III"
37;2;2;"B";"III"
38;2;2;"B";"III"
39;2;2;"B";"III"
40;2;1;"A";"IV"
41;2;2;"B";"III"
42;2;1;"A";"IV"
43;2;1;"A";"IV"
44;2;2;"B";"III"
45;2;2;"B";"III"
46;2;2;"B";"III"
47;2;2;"B";"III"
48;2;2;"B";"III"
49;2;1;"A";"IV"
50;2;1;"A";"IV"
51;2;2;"B";"III"
52;2;1;"A";"IV"
53;2;1;"A";"IV"
54;2;1;"A";"IV"
55;2;1;"A";"IV"
56;2;2;"B";"III"
57;2;2;"B";"III"
58;2;2;"B";"III"
59;2;1;"A";"IV"
60;2;2;"B";"III"
61;2;2;"B";"III"
62;2;2;"B";"III"
63;2;1;"A";"IV"
64;2;1;"A";"IV"
65;2;2;"B";"III"
66;2;1;"A";"IV"
67;2;2;"B";"III"
68;2;2;"B";"III"
69;2;2;"B";"III"
70;2;1;"A";"IV"
71;2;1;"A";"IV"
72;2;2;"B";"III"
73;2;2;"B";"III"
74;2;2;"B";"III"
75;2;1;"A";"IV"
76;2;1;"A";"IV"
77;2;2;"B";"III"
78;2;2;"B";"III"
79;2;2;"B";"III"
80;2;2;"B";"III"
81;2;2;"B";"III"
82;2;2;"B";"III"
83;2;2;"B";"III"
84;2;2;"B";"III"
85;2;1;"A";"IV"
86;2;2;"B";"III"
87;2;1;"A";"IV"
88;2;1;"A";"IV"
89;2;2;"B";"III"
90;2;2;"B";"III"
91;2;2;"B";"III"
92;2;2;"B";"III"
93;2;2;"B";"III"
94;2;2;"B";"III"
95;2;2;"B";"III"
96;2;2;"B";"III"
97;2;2;"B";"III"
98;2;2;"B";"III"
99;2;2;"B";"III"
100;2;2;"B";"III"
101;2;2;"B";"III"
102;2;1;"A";"IV"
103;2;1;"A";"IV"
104;2;1;"A";"IV"
105;2;2;"B";"III"
106;2;1;"A";"IV"
107;2;2;"B";"III"
108;2;1;"A";"IV"
109;2;1;"A";"IV"
110;2;2;"B";"III"
111;2;1;"A";"IV"
112;2;1;"A";"IV"
113;2;1;"A";"IV"
114;2;1;"A";"IV"
115;2;2;"B";"III"
116;2;2;"B";"III"
117;2;1;"A";"IV"
118;2;2;"B";"III"
119;2;2;"B";"III"
120;2;2;"B";"III"
121;2;2;"B";"III"
122;2;1;"A";"IV"
123;2;2;"B";"III"
124;2;1;"A";"IV"
125;2;1;"A";"IV"
126;2;2;"B";"III"
127;2;2;"B";"III"
128;2;1;"A";"IV"
129;2;1;"A";"IV"
130;2;2;"B";"III"
131;2;1;"A";"IV"
132;2;1;"A";"IV"
133;2;1;"A";"IV"
134;2;1;"A";"IV"
135;2;1;"A";"IV"
136;2;2;"B";"III"
137;2;1;"A";"IV"
138;2;2;"B";"III"
139;2;1;"A";"IV"
140;2;2;"B";"III"
141;2;2;"B";"III"
142;2;2;"B";"III"
143;2;1;"A";"IV"
144;2;1;"A";"IV"
145;2;2;"B";"III"
146;2;2;"B";"III"
147;2;1;"A";"IV"
148;2;1;"A";"IV"
149;2;1;"A";"IV"
150;2;1;"A";"IV"
151;2;1;"A";"IV"
152;2;1;"A";"IV"
153;2;1;"A";"IV"
154;2;2;"B";"III"
155;2;2;"B";"III"
156;2;2;"B";"III"
157;2;2;"B";"III"
158;2;1;"A";"IV"
159;2;1;"A";"IV"
160;2;2;"B";"III"
161;2;1;"A";"IV"
162;2;2;"B";"III"
163;2;1;"A";"IV"
164;2;2;"B";"III"
165;2;1;"A";"IV"
166;2;2;"B";"III"
167;2;2;"B";"III"
168;2;2;"B";"III"
169;2;1;"A";"IV"
170;2;1;"A";"IV"
171;2;1;"A";"IV"
172;2;2;"B";"III"
173;2;2;"B";"III"
174;2;2;"B";"III"
175;2;2;"B";"III"
176;2;1;"A";"IV"
177;2;2;"B";"III"
178;2;1;"A";"IV"
179;2;2;"B";"III"
180;2;1;"A";"IV"
181;2;1;"A";"IV"
182;2;1;"A";"IV"
183;2;1;"A";"IV"
184;2;2;"B";"III"
185;2;2;"B";"III"
186;2;2;"B";"III"
187;2;1;"A";"IV"
188;2;2;"B";"III"
189;2;1;"A";"IV"
190;2;1;"A";"IV"
191;2;1;"A";"IV"
192;2;1;"A";"IV"
193;2;1;"A";"IV"
194;2;1;"A";"IV"
195;2;1;"A";"IV"
196;2;2;"B";"III"
197;2;2;"B";"III"
198;2;2;"B";"III"
199;2;1;"A";"IV"
200;2;1;"A";"IV"
201;2;1;"A";"IV"
202;2;2;"B";"III"
203;2;2;"B";"III"
204;2;1;"A";"IV"
205;2;1;"A";"IV"
206;2;2;"B";"III"
207;2;1;"A";"IV"
208;2;2;"B";"III"
209;2;2;"B";"III"
210;2;1;"A";"IV"
211;2;2;"B";"III"
212;2;2;"B";"III"
213;2;1;"A";"IV"
214;2;1;"A";"IV"
215;2;2;"B";"III"
216;2;1;"A";"IV"
217;2;1;"A";"IV"
218;2;2;"B";"III"
219;2;1;"A";"IV"
220;2;2;"B";"III"
221;2;1;"A";"IV"
222;2;2;"B";"III"
223;2;2;"B";"III"
224;2;2;"B";"III"
225;2;1;"A";"IV"
226;2;1;"A";"IV"
227;2;1;"A";"IV"
228;2;1;"A";"IV"
229;2;2;"B";"III"
230;2;1;"A";"IV"
231;2;1;"A";"IV"
232;2;1;"A";"IV"
233;2;1;"A";"IV"
234;2;2;"B";"III"
235;2;1;"A";"IV"
236;2;2;"B";"III"
237;2;2;"B";"III"
238;2;1;"A";"IV"
239;2;1;"A";"IV"
240;2;1;"A";"IV"
241;2;1;"A";"IV"
242;2;2;"B";"III"
243;2;2;"B";"III"
244;2;2;"B";"III"
245;2;2;"B";"III"
246;2;2;"B";"III"
247;2;1;"A";"IV"
248;2;2;"B";"III"
249;2;2;"B";"III"
250;2;1;"A";"IV"
251;2;1;"A";"IV"
252;2;1;"A";"IV"
253;2;2;"B";"III"
254;2;1;"A";"IV"
255;2;1;"A";"IV"
256;2;1;"A";"IV"
257;2;2;"B";"III"
258;2;2;"B";"III"
259;2;1;"A";"IV"
260;2;1;"A";"IV"
261;2;2;"B";"III"
262;2;2;"B";"III"
263;2;1;"A";"IV"
264;2;1;"A";"IV"
265;2;2;"B";"III"
266;2;1;"A";"IV"
267;2;2;"B";"III"
268;2;1;"A";"IV"
269;2;1;"A";"IV"
270;2;2;"B";"III"
271;2;1;"A";"IV"
272;2;2;"B";"III"
273;2;1;"A";"IV"
274;2;2;"B";"III"
275;2;1;"A";"IV"
276;2;2;"B";"III"
277;2;2;"B";"III"
278;2;2;"B";"III"
279;2;2;"B";"III"
280;2;2;"B";"III"
281;2;2;"B";"III"
282;2;2;"B";"III"
283;2;1;"A";"IV"
284;2;1;"A";"IV"
285;2;2;"B";"III"
286;2;2;"B";"III"
287;2;2;"B";"III"
288;2;2;"B";"III"
289;2;2;"B";"III"
290;2;1;"A";"IV"
291;2;1;"A";"IV"
292;2;1;"A";"IV"
293;2;1;"A";"IV"
294;2;2;"B";"III"
295;2;2;"B";"III"
296;2;2;"B";"III"
297;2;1;"A";"IV"
298;2;2;"B";"III"
299;2;1;"A";"IV"
300;2;1;"A";"IV"
301;2;1;"A";"IV"
302;2;2;"B";"III"
303;2;1;"A";"IV"
304;2;2;"B";"III"
305;2;2;"B";"III"
306;2;2;"B";"III"
307;2;2;"B";"III"
308;2;1;"A";"IV"
309;2;2;"B";"III"
310;1;1;"A";"IV"
311;2;1;"A";"IV"
312;2;2;"B";"III"
313;2;2;"B";"III"
314;2;2;"B";"III"
315;2;2;"B";"III"
316;2;2;"B";"III"
317;2;1;"A";"IV"
318;2;1;"A";"IV"
319;2;2;"B";"III"
320;1;2;"B";"III"
321;2;2;"B";"III"
322;2;2;"B";"III"
323;1;2;"B";"III"
324;1;2;"B";"III"
325;1;1;"A";"IV"
326;1;1;"A";"IV"
327;1;1;"A";"IV"
328;1;1;"A";"IV"
329;1;2;"B";"III"
330;1;1;"A";"IV"
331;2;1;"A";"IV"
332;1;2;"B";"III"
333;1;1;"A";"IV"
334;2;1;"A";"IV"
335;1;1;"A";"IV"
336;1;2;"B";"III"
337;1;1;"A";"IV"
338;1;1;"A";"IV"
339;1;2;"B";"III"
340;1;2;"B";"III"
341;1;1;"A";"IV"
342;1;2;"B";"III"
343;1;1;"A";"IV"
344;1;1;"A";"IV"
345;1;1;"A";"IV"
346;1;1;"A";"IV"
347;1;1;"A";"IV"
348;1;1;"A";"IV"
349;1;1;"A";"IV"
350;1;1;"A";"IV"
351;1;2;"B";"III"
352;1;1;"A";"IV"
353;1;2;"B";"III"
354;1;1;"A";"IV"
355;1;2;"B";"III"
356;1;1;"A";"IV"
357;1;2;"B";"III"
358;1;2;"B";"III"
359;1;1;"A";"IV"
360;1;1;"A";"IV"
361;1;1;"A";"IV"
362;1;1;"A";"IV"
363;1;2;"B";"III"
364;1;1;"A";"IV"
365;1;2;"B";"III"
366;1;2;"B";"III"
367;1;1;"A";"IV"
368;1;2;"B";"III"
369;1;1;"A";"IV"
370;1;2;"B";"III"
371;1;1;"A";"IV"
372;1;1;"A";"IV"
373;1;1;"A";"IV"
374;1;1;"A";"IV"
375;1;2;"B";"III"
376;1;1;"A";"IV"
377;1;1;"A";"IV"
378;1;1;"A";"IV"
379;1;2;"B";"III"
380;1;1;"A";"IV"
381;1;2;"B";"III"
382;1;1;"A";"IV"
383;1;2;"B";"III"
384;1;1;"A";"IV"
385;1;2;"B";"III"
386;1;1;"A";"IV"
387;1;1;"A";"IV"
388;1;2;"B";"III"
389;1;1;"A";"IV"
390;1;1;"A";"IV"
391;1;1;"A";"IV"
392;1;1;"A";"IV"
393;1;2;"B";"III"
394;1;1;"A";"IV"
395;1;2;"B";"III"
396;1;2;"B";"III"
397;1;2;"B";"III"
398;1;1;"A";"IV"
399;1;2;"B";"III"
400;1;2;"B";"III"
401;1;1;"A";"IV"
402;1;2;"B";"III"
403;1;1;"A";"IV"
404;1;1;"A";"IV"
405;1;1;"A";"IV"
406;1;1;"A";"IV"
407;1;1;"A";"IV"
408;1;2;"B";"III"
409;1;1;"A";"IV"
410;1;1;"A";"IV"
411;1;2;"B";"III"
412;1;1;"A";"IV"
413;1;1;"A";"IV"
414;1;2;"B";"III"
415;1;2;"B";"III"
416;1;2;"B";"III"
417;1;2;"B";"III"
418;1;1;"A";"IV"
419;1;1;"A";"IV"
420;1;2;"B";"III"
421;1;1;"A";"IV"
422;1;2;"B";"III"
423;1;2;"B";"III"
424;1;2;"B";"III"
425;1;1;"A";"IV"
426;1;2;"B";"III"
427;1;2;"B";"III"
428;1;1;"A";"IV"
429;1;2;"B";"III"
430;1;1;"A";"IV"
431;1;2;"B";"III"
432;1;1;"A";"IV"
433;1;1;"A";"IV"
434;1;2;"B";"III"
435;1;2;"B";"III"
436;1;1;"A";"IV"
437;1;1;"A";"IV"
438;1;2;"B";"III"
439;1;2;"B";"III"
440;1;1;"A";"IV"
441;1;2;"B";"III"
442;1;1;"A";"IV"
443;1;2;"B";"III"
444;1;1;"A";"IV"
445;1;1;"A";"IV"
446;1;1;"A";"IV"
447;1;1;"A";"IV"
448;1;1;"A";"IV"
449;1;1;"A";"IV"
450;1;1;"A";"IV"
451;1;2;"B";"III"
452;1;1;"A";"IV"
453;1;2;"B";"III"
454;1;2;"B";"III"
455;1;1;"A";"IV"
456;1;2;"B";"III"
457;1;2;"B";"III"
458;1;2;"B";"III"
459;1;2;"B";"III"
460;1;1;"A";"IV"
461;1;1;"A";"IV"
462;1;1;"A";"IV"
463;1;2;"B";"III"
464;1;1;"A";"IV"
465;1;1;"A";"IV"
466;1;1;"A";"IV"
467;1;1;"A";"IV"
468;1;1;"A";"IV"
469;1;1;"A";"IV"
470;1;2;"B";"III"
471;1;1;"A";"IV"
472;1;1;"A";"IV"
473;1;1;"A";"IV"
474;1;1;"A";"IV"
475;1;1;"A";"IV"
476;1;1;"A";"IV"
477;2;2;"B";"III"
478;2;2;"B";"III"
479;2;1;"A";"IV"
480;2;2;"B";"III"
481;2;2;"B";"III"
482;2;2;"B";"III"
483;2;1;"A";"IV"
484;2;1;"A";"IV"
485;2;1;"A";"IV"
486;2;1;"A";"IV"
487;2;1;"A";"IV"
488;2;2;"B";"III"
489;2;1;"A";"IV"
490;2;1;"A";"IV"
491;2;2;"B";"III"
492;2;2;"B";"III"
493;2;2;"B";"III"
494;2;2;"B";"III"
495;1;1;"A";"IV"
496;1;1;"A";"IV"
497;2;2;"B";"III"
498;2;2;"B";"III"
499;2;2;"B";"III"
500;2;1;"A";"IV"
501;2;1;"A";"IV"
502;2;2;"B";"III"
503;2;1;"A";"IV"
504;2;1;"A";"IV"
505;2;1;"A";"IV"
506;2;1;"A";"IV"
507;2;1;"A";"IV"
508;2;1;"A";"IV"
509;2;1;"A";"IV"
510;2;2;"B";"III"
511;2;1;"A";"IV"
512;2;2;"B";"III"
513;2;2;"B";"III"
514;2;1;"A";"IV"
515;2;1;"A";"IV"
516;2;2;"B";"III"
517;2;2;"B";"III"
518;2;2;"B";"III"
519;2;1;"A";"IV"
520;2;1;"A";"IV"
521;2;2;"B";"III"
522;2;1;"A";"IV"
