"BcnHousingPrice.Codi_Barri","BcnHousingPrice.Nom_Barri","BcnHousingPrice.Nom_Districte","BcnHousingPrice.Valor"
2,"el Barri Gòtic","Ciutat Vella",419.425
1,"el Raval","Ciutat Vella",206.725
3,"la Barceloneta","Ciutat Vella",224.625
4,"Sant Pere, Santa Caterina i la Ribera","Ciutat Vella",311.05
5,"el Fort Pienc","Eixample",555.475
8,"l'Antiga Esquerra de l'Eixample","Eixample",457.575
7,"la Dreta de l'Eixample","Eixample",532.625
9,"la Nova Esquerra de l'Eixample","Eixample",318.6
6,"la Sagrada Família","Eixample",278.975
10,"Sant Antoni","Eixample",333.925
32,"el Camp d'en Grassot i Gràcia Nova","Gràcia",376.5
29,"el Coll","Gràcia",191.7
30,"la Salut","Gràcia",356.775
31,"la Vila de Gràcia","Gràcia",435.75
28,"Vallcarca i els Penitents","Gràcia",332.45
34,"Can Baró","Horta-Guinardó",214.75
33,"el Baix Guinardó","Horta-Guinardó",278.275
37,"el Carmel","Horta-Guinardó",192.975
35,"el Guinardó","Horta-Guinardó",241.925
43,"Horta","Horta-Guinardó",245.25
42,"la Clota","Horta-Guinardó",280.7234375
36,"la Font d'en Fargues","Horta-Guinardó",266.3
38,"la Teixonera","Horta-Guinardó",181.275
41,"la Vall d'Hebron","Horta-Guinardó",201.35
40,"Montbau","Horta-Guinardó",164.45
39,"Sant Genís dels Agudells","Horta-Guinardó",187.025
20,"la Maternitat i Sant Ramon","Les Corts",371.775
19,"les Corts","Les Corts",395.025
21,"Pedralbes","Les Corts",1115.9
47,"Can Peguera","Nou Barris",317.63125
49,"Canyelles","Nou Barris",170.175
55,"Ciutat Meridiana","Nou Barris",87.075
46,"el Turó de la Peira","Nou Barris",152.275
48,"la Guineueta","Nou Barris",212.65
52,"la Prosperitat","Nou Barris",138.075
53,"la Trinitat Nova","Nou Barris",84.65
50,"les Roquetes","Nou Barris",173.575
45,"Porta","Nou Barris",177.25
54,"Torre Baró","Nou Barris",275.9734375
56,"Vallbona","Nou Barris",218.790625
51,"Verdun","Nou Barris",150.45
44,"Vilapicina i la Torre Llobeta","Nou Barris",203.775
58,"Baró de Viver","Sant Andreu",317.63125
59,"el Bon Pastor","Sant Andreu",159.275
62,"el Congrés i els Indians","Sant Andreu",235.6
61,"la Sagrera","Sant Andreu",265.9
57,"la Trinitat Vella","Sant Andreu",235.525
63,"Navas","Sant Andreu",391.275
60,"Sant Andreu","Sant Andreu",252.775
69,"Diagonal Mar i el Front Marítim del Poblenou","Sant Martí",584.075
70,"el Besòs i el Maresme","Sant Martí",310.1
64,"el Camp de l'Arpa del Clot","Sant Martí",319.35
65,"el Clot","Sant Martí",347.925
66,"el Parc i la Llacuna del Poblenou","Sant Martí",236.525
68,"el Poblenou","Sant Martí",362.325
73,"la Verneda i la Pau","Sant Martí",172.325
67,"la Vila Olímpica del Poblenou","Sant Martí",487.6578125
71,"Provençals del Poblenou","Sant Martí",341.35
72,"Sant Martí de Provençals","Sant Martí",295.375
11,"el Poble Sec","Sants-Montjuïc",283.925
15,"Hostafrancs","Sants-Montjuïc",319.925
16,"la Bordeta","Sants-Montjuïc",194.95
14,"la Font de la Guatlla","Sants-Montjuïc",292.325
13,"la Marina de Port","Sants-Montjuïc",185.05
12,"la Marina del Prat Vermell","Sants-Montjuïc",268.4734375
18,"Sants","Sants-Montjuïc",270.025
17,"Sants - Badal","Sants-Montjuïc",243.475
27,"el Putxet i el Farró","Sarrià-Sant Gervasi",475.175
24,"les Tres Torres","Sarrià-Sant Gervasi",809.625
26,"Sant Gervasi - Galvany","Sarrià-Sant Gervasi",653.975
25,"Sant Gervasi - la Bonanova","Sarrià-Sant Gervasi",657.625
23,"Sarrià","Sarrià-Sant Gervasi",706.8
22,"Vallvidrera, el Tibidabo i les Planes","Sarrià-Sant Gervasi",479.225
