"Dictamen" "Antig_feina" "Vivenda" "Plaç" "Edat" "Estat_civil" "Registres" "Tipus_feina" "Despeses" "Ingressos" "Patrimoni" "Carrecs_pat" "Import_sol" "Preu_finan" "Rati_fin" "Estalvi"
"1" "positiu" 9 "lloguer" 60 30 "casat" "reg_no" "autonom" 73 129 0 0 800 846 94.5626477541371 4.2
"2" "positiu" 17 "lloguer" 60 58 "vidu" "reg_no" "fixe" 48 131 0 0 1000 1658 60.313630880579 4.98
"3" "negatiu" 10 "escriptura" 36 46 "casat" "reg_si" "autonom" 90 200 3000 0 2000 2985 67.001675041876 1.98
"4" "positiu" 0 "lloguer" 60 24 "solter" "reg_no" "fixe" 63 182 2500 0 900 1325 67.9245283018868 7.93333333333333
"5" "positiu" 0 "lloguer" 36 26 "solter" "reg_no" "fixe" 46 107 0 0 310 910 34.0659340659341 7.08387096774194
"6" "positiu" 1 "escriptura" 60 36 "casat" "reg_no" "fixe" 75 214 3500 0 650 1645 39.5136778115502 12.8307692307692
"7" "positiu" 29 "escriptura" 60 44 "casat" "reg_no" "fixe" 75 125 10000 0 1600 1800 88.8888888888889 1.875
"8" "positiu" 9 "pares" 12 27 "solter" "reg_no" "fixe" 35 80 0 0 200 1093 18.2982616651418 2.7
"9" "positiu" 0 "escriptura" 60 32 "casat" "reg_no" "autonom" 90 107 15000 0 1200 1957 61.3183444047011 0.85
"10" "negatiu" 0 "pares" 48 41 "casat" "reg_no" "temporal" 90 80 0 0 1200 1468 81.7438692098093 -0.4
"11" "positiu" 6 "escriptura" 48 34 "casat" "reg_no" "autonom" 60 125 4000 0 1150 1577 72.9232720355105 2.71304347826087
"12" "positiu" 7 "escriptura" 36 29 "casat" "reg_no" "fixe" 60 121 3000 0 650 915 71.0382513661202 3.37846153846154
"13" "positiu" 8 "escriptura" 60 30 "casat" "reg_no" "fixe" 75 199 5000 2500 1500 1650 90.9090909090909 3.96
"14" "positiu" 19 "contr_privat" 36 37 "casat" "reg_no" "fixe" 75 170 3500 260 600 940 63.8297872340426 5.544
"15" "negatiu" 0 "altres_viv" 18 21 "solter" "reg_si" "temporal" 35 50 0 0 400 500 80 0.675
"16" "positiu" 0 "escriptura" 24 68 "casat" "reg_no" "fixe" 75 131 4162 0 900 1186 75.885328836425 1.49333333333333
"17" "positiu" 15 "contr_privat" 24 52 "solter" "reg_no" "autonom" 35 330 16500 0 1500 2201 68.1508405270332 4.72
"18" "positiu" 33 "lloguer" 24 68 "casat" "reg_no" "autonom" 65 200 5000 2000 600 1350 44.4444444444444 4.6
"19" "negatiu" 0 "altres_viv" 48 36 "casat" "reg_no" "temporal" 45 130 750 0 1100 1511 72.7994705493051 3.70909090909091
"20" "positiu" 1 "pares" 60 31 "solter" "reg_no" "fixe" 35 137 0 0 1250 1253 99.7605746209098 4.896
"21" "negatiu" 2 "lloguer" 60 25 "solter" "reg_no" "fixe" 46 107 0 0 1500 2189 68.5244403837369 2.44
