Valor	Superf	Dorm	Banys	Edat	Estat	Planta	Dist	ValSol	Tipus	Ascens	ExtInt	Reforma
4962780	31.41	2	1	70	1_MM	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF15-20
7001400	42	1	1	100	2_M	Planta	Ciutat_Vella	89407.53	MANZ	NO	EXT	REF1A5
8283600	42.48	2	1	80	2_M	Planta	Ciutat_Vella	122622.28	MANZ	NO	EXT	RECIENREF
10248000	61	3	1	100	1_MM	Planta	Ciutat_Vella	105350.61	MANZ	SI	EXT	RECIENREF
19566720	96	2	2	0	5_MB	Planta	Ciutat_Vella	86750.35	MANZ	SI	EXT	OBRANUEVA
9575648	76.3	2	1	113	1_MM	Atic	Ciutat_Vella	73464.45	MANZ	NO	EXT	REF10-15
6610500	58.5	2	1	90	1_MM	Planta	Ciutat_Vella	73464.45	MANZ	SI	EXT	SINREFORMA
10000000	62.5	2	1	25	1_MM	Planta	Ciutat_Vella	96714.775	MANZ	SI	EXT	SINREFORMA
6014086	46	2	1	80	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	INT	REF1A5
9919000	76.3	2	1	113	1_MM	Atic	Ciutat_Vella	73464.45	MANZ	NO	EXT	REF10-15
18117904	88.38	2	2	19	3_N	Atic	Ciutat_Vella	100036.25	MANZ	SI	EXT	REF10-15
6489600	48	2	1	148	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
6045000	39	1	1	90	3_N	Planta	Ciutat_Vella	80107.4	MANZ	NO	INT	REF1A5
9360000	39	1	1	25	4_B	Planta	Ciutat_Vella	113322.15	MANZ	SI	EXT	RECIENREF
7907350	65.35	2	1	90	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	REF>20
10813348	91	5	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF10-15
11096540	91	2	2	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
10584392	91	5	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7604992	64	3	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7979008	64	3	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF5A10
7804160	64	3	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7564032	64	3	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7443968	64	2	2	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7020000	58.5	3	1	90	1_MM	Planta	Ciutat_Vella	73464.45	MANZ	SI	EXT	SINREFORMA
6987500	32.5	1	1	27	3_N	Planta	Ciutat_Vella	119965.1	MANZ	SI	EXT	SINREFORMA
6300000	42	1	1	150	3_N	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
7298000	41	1	1	100	3_N	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	RECIENREF
11481600	64	2	1	98	1_MM	Atic	Ciutat_Vella	100036.25	MANZ	SI	INT	REF>20
7896602	64.2	2	1	90	1_MM	Planta	Ciutat_Vella	73464.45	MANZ	SI	EXT	REF>20
26130064	135	4	2	98	3_N	Planta	Ciutat_Vella	132320.987	MANZ	NO	EXT	RECIENREF
