"","Dist","variable","value","sub_variable"
"1","Ciutat_Vella","Valor","4962780","Valor"
"2","Ciutat_Vella","Valor","7001400","Valor"
"3","Ciutat_Vella","Valor","8283600","Valor"
"4","Ciutat_Vella","Valor","10248000","Valor"
"5","Ciutat_Vella","Valor","19566720","Valor"
"6","Ciutat_Vella","Valor","9575648","Valor"
"7","Ciutat_Vella","Valor","6610500","Valor"
"8","Ciutat_Vella","Valor","10000000","Valor"
"9","Ciutat_Vella","Valor","6014086","Valor"
"10","Ciutat_Vella","Valor","9919000","Valor"
"11","Ciutat_Vella","Valor","18117904","Valor"
"12","Ciutat_Vella","Valor","6489600","Valor"
"13","Ciutat_Vella","Valor","6045000","Valor"
"14","Ciutat_Vella","Valor","9360000","Valor"
"15","Ciutat_Vella","Valor","7907350","Valor"
"16","Ciutat_Vella","Valor","10813348","Valor"
"17","Ciutat_Vella","Valor","11096540","Valor"
"18","Ciutat_Vella","Valor","10584392","Valor"
"19","Ciutat_Vella","Valor","7604992","Valor"
"20","Ciutat_Vella","Valor","7979008","Valor"
"21","Ciutat_Vella","Valor","7804160","Valor"
"22","Ciutat_Vella","Valor","7564032","Valor"
"23","Ciutat_Vella","Valor","7443968","Valor"
"24","Ciutat_Vella","Valor","7020000","Valor"
"25","Ciutat_Vella","Valor","6987500","Valor"
"26","Ciutat_Vella","Valor","6300000","Valor"
"27","Ciutat_Vella","Valor","7298000","Valor"
"28","Ciutat_Vella","Valor","11481600","Valor"
"29","Ciutat_Vella","Valor","7896602","Valor"
"30","Ciutat_Vella","Valor","26130064","Valor"
"31","Ciutat_Vella","Valor","12749000","Valor"
"32","Ciutat_Vella","Valor","8563500","Valor"
"33","Ciutat_Vella","Valor","6600630","Valor"
"34","Ciutat_Vella","Valor","7137002","Valor"
"35","Ciutat_Vella","Valor","7032500","Valor"
"36","Ciutat_Vella","Valor","5513684","Valor"
"37","Ciutat_Vella","Valor","12875880","Valor"
"38","Ciutat_Vella","Valor","6560000","Valor"
"39","Ciutat_Vella","Valor","6090000","Valor"
"40","Ciutat_Vella","Valor","21760496","Valor"
"41","Ciutat_Vella","Valor","6426000","Valor"
"42","Ciutat_Vella","Valor","11949140","Valor"
"43","Ciutat_Vella","Valor","10521000","Valor"
"44","Ciutat_Vella","Valor","8912000","Valor"
"45","Sant_Marti","Valor","20090000","Valor"
"46","Ciutat_Vella","Valor","10545000","Valor"
"47","Ciutat_Vella","Valor","10281248","Valor"
"48","Ciutat_Vella","Valor","8265000","Valor"
"49","Ciutat_Vella","Valor","4655200","Valor"
"50","Ciutat_Vella","Valor","7695000","Valor"
"51","Ciutat_Vella","Valor","6251520","Valor"
"52","Gracia","Valor","18259856","Valor"
"53","Ciutat_Vella","Valor","7136280","Valor"
"54","Ciutat_Vella","Valor","9114000","Valor"
"55","Ciutat_Vella","Valor","6970800","Valor"
"56","Ciutat_Vella","Valor","18986880","Valor"
"57","Ciutat_Vella","Valor","8417076","Valor"
"58","Ciutat_Vella","Valor","6424000","Valor"
"59","Ciutat_Vella","Valor","10469000","Valor"
"60","Ciutat_Vella","Valor","8673500","Valor"
"61","Ciutat_Vella","Valor","5734200","Valor"
"62","Ciutat_Vella","Valor","12036000","Valor"
"63","Ciutat_Vella","Valor","6580000","Valor"
"64","Ciutat_Vella","Valor","9545520","Valor"
"65","Ciutat_Vella","Valor","10250000","Valor"
"66","Ciutat_Vella","Valor","8000000","Valor"
"67","Ciutat_Vella","Valor","13000000","Valor"
"68","Ciutat_Vella","Valor","7990000","Valor"
"69","Ciutat_Vella","Valor","6224490","Valor"
"70","Ciutat_Vella","Valor","8361600","Valor"
"71","Ciutat_Vella","Valor","11550000","Valor"
"72","Ciutat_Vella","Valor","5700000","Valor"
"73","Ciutat_Vella","Valor","7500000","Valor"
"74","Ciutat_Vella","Valor","7742000","Valor"
"75","Ciutat_Vella","Valor","9265000","Valor"
"76","Ciutat_Vella","Valor","11544000","Valor"
"77","Ciutat_Vella","Valor","13849600","Valor"
"78","Ciutat_Vella","Valor","10471000","Valor"
"79","Ciutat_Vella","Valor","12928496","Valor"
"80","Ciutat_Vella","Valor","10150000","Valor"
"81","Ciutat_Vella","Valor","29574000","Valor"
"82","Ciutat_Vella","Valor","11000000","Valor"
"83","Ciutat_Vella","Valor","18841600","Valor"
"84","Ciutat_Vella","Valor","8694000","Valor"
"85","Ciutat_Vella","Valor","13455000","Valor"
"86","Ciutat_Vella","Valor","15318128","Valor"
"87","Ciutat_Vella","Valor","11126500","Valor"
"88","Ciutat_Vella","Valor","11445000","Valor"
"89","Ciutat_Vella","Valor","7740000","Valor"
"90","Ciutat_Vella","Valor","8014500","Valor"
"91","Ciutat_Vella","Valor","12772200","Valor"
"92","Ciutat_Vella","Valor","8829540","Valor"
"93","Ciutat_Vella","Valor","6012500","Valor"
"94","Ciutat_Vella","Valor","11980500","Valor"
"95","Ciutat_Vella","Valor","22309152","Valor"
"96","Ciutat_Vella","Valor","23958000","Valor"
"97","Ciutat_Vella","Valor","25217496","Valor"
"98","Ciutat_Vella","Valor","16263004","Valor"
"99","Ciutat_Vella","Valor","27015472","Valor"
"100","Ciutat_Vella","Valor","4776000","Valor"
"101","Ciutat_Vella","Valor","18165000","Valor"
"102","Ciutat_Vella","Valor","36763200","Valor"
"103","Ciutat_Vella","Valor","16493400","Valor"
