Encuesta de Población Activa
Activos
Tasas de actividad por sexo y grupo de edad
Unidades:   Tasas

;Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;
        Total;58.8;58.92;58.84;58.78;58.95;59.28;59.41;59.29;59.43;59.5;59.79;59.45;59.77;59.53;59.63;59.46;59.86;60.04;60.0;60.18;60.23;60.55;60.5;60.31;60.29;60.44;60.44;60.16;60.25;60.37;60.41;60.09;59.99;60.05;60.3;60.39;60.35;60.23;60.07;59.67;59.47;59.5;59.23;58.9;58.88;58.74;58.63;58.3;58.08;57.86;57.86;57.38;57.12;56.93;56.55;56.24;56.25;56.15;55.65;55.28;54.95;54.92;54.48;54.06;64.57;65.04;64.7;64.62;64.8;65.26;65.21;65.25;65.37;65.9;65.84;65.66;65.95;66.02;65.86;65.48;66.05;66.61;66.32;66.57;66.72;67.37;67.32;66.99;67.42;67.77;67.55;67.5;67.76;68.35;68.46;68.02;68.16;68.43;68.88;69.11;69.21;69.83;69.71;69.42;69.34;69.74;69.48;69.04;69.08;69.57;69.2;69.03;69.08;69.23;69.0;68.67;68.37;68.54;68.05;67.83;68.07;68.23;67.72;67.41;67.26;67.47;66.9;66.69;53.33;53.13;53.28;53.24;53.41;53.61;53.91;53.64;53.79;53.42;54.03;53.55;53.9;53.35;53.71;53.75;53.96;53.78;53.96;54.07;54.03;54.02;53.97;53.91;53.44;53.4;53.6;53.1;53.01;52.68;52.65;52.45;52.12;51.96;52.01;51.95;51.78;50.95;50.75;50.25;49.94;49.61;49.34;49.13;49.06;48.32;48.46;47.97;47.49;46.93;47.15;46.55;46.34;45.83;45.56;45.17;44.98;44.62;44.15;43.73;43.24;42.99;42.67;42.08;
        De 16 a 19 años;14.42;16.72;14.2;12.97;13.34;15.3;13.36;12.91;13.58;16.94;14.88;14.14;14.6;16.09;14.23;14.14;15.55;18.79;16.27;15.8;15.11;19.28;18.36;16.99;16.92;22.1;19.71;18.44;19.06;22.59;22.88;21.45;20.89;26.62;25.61;25.65;26.71;32.3;29.37;28.1;28.27;33.27;30.45;27.53;28.47;32.4;29.31;27.01;27.82;31.76;29.46;26.99;25.4;27.93;24.67;24.2;25.19;27.28;25.57;24.32;25.33;27.34;24.81;25.4;16.02;19.04;16.11;15.29;14.74;16.77;15.19;14.72;15.21;19.06;16.59;15.65;15.43;17.26;16.2;15.78;17.17;20.12;18.66;18.38;16.52;21.03;20.1;18.29;18.88;24.5;21.19;20.92;21.25;25.38;26.17;25.19;25.43;30.38;30.27;29.36;29.72;36.16;32.87;32.77;32.82;37.93;36.24;32.72;33.06;38.22;32.18;30.86;32.23;37.36;34.04;33.75;31.15;35.08;29.96;29.0;30.78;32.9;31.35;29.86;31.83;34.06;30.24;30.29;12.73;14.25;12.17;10.49;11.86;13.74;11.42;11.0;11.86;14.71;13.06;12.55;13.72;14.86;12.15;12.41;13.84;17.38;13.74;13.07;13.61;17.42;16.52;15.62;14.84;19.54;18.13;15.81;16.74;19.62;19.4;17.48;16.07;22.64;20.67;21.72;23.53;28.21;25.66;23.14;23.44;28.34;24.33;22.04;23.61;26.27;26.29;22.94;23.17;25.85;24.61;19.83;19.34;20.39;19.08;19.13;19.3;21.36;19.48;18.5;18.5;20.27;19.09;20.25;
        De 20 a 24 años;54.98;58.65;54.74;53.21;53.34;56.79;55.8;53.83;55.15;59.32;56.84;55.58;57.09;59.44;57.29;57.42;58.65;61.11;59.38;59.92;60.0;63.32;60.95;60.45;61.82;65.1;63.03;62.67;63.84;66.78;64.38;63.62;65.2;68.08;66.17;66.53;68.32;70.59;67.51;66.12;66.99;69.84;66.86;66.25;67.62;69.23;67.86;67.14;67.33;69.07;66.83;66.06;64.07;66.0;64.34;63.62;63.58;65.22;62.71;62.18;62.18;63.35;61.69;61.07;56.41;61.71;56.83;55.52;56.19;58.61;58.48;56.55;57.88;60.99;58.21;58.43;59.06;62.66;59.85;59.72;61.01;63.84;62.0;61.68;62.13;65.89;62.2;61.99;63.67;66.6;64.88;64.44;66.35;69.08;67.98;66.14;67.96;70.98;69.72;70.4;72.44;75.44;71.82;71.05;71.52;74.22;71.65;71.45;72.05;73.98;72.39;71.64;72.77;73.97;71.58;71.27;69.74;71.08;69.6;69.66;69.26;70.84;68.04;67.52;66.76;68.18;66.75;66.86;53.51;55.48;52.57;50.83;50.4;54.91;53.03;51.02;52.34;57.6;55.42;52.66;55.06;56.12;54.67;55.05;56.24;58.31;56.69;58.11;57.82;60.69;59.66;58.88;59.93;63.56;61.13;60.86;61.28;64.41;60.67;61.01;62.35;65.08;62.5;62.51;64.05;65.56;63.03;60.98;62.28;65.29;61.87;60.84;63.01;64.26;63.12;62.42;61.63;63.94;61.85;60.61;58.14;60.69;58.85;57.3;57.64;59.33;57.14;56.57;57.39;58.27;56.38;55.0;
        De 25 a 29 años;84.51;85.21;85.38;84.46;85.03;85.8;84.93;84.56;85.09;85.12;85.07;85.73;86.83;87.06;86.88;86.49;86.9;87.61;86.52;87.09;87.43;87.32;87.31;86.82;86.91;86.89;87.03;86.11;87.0;87.28;86.82;87.47;87.14;86.17;86.53;87.54;87.15;86.76;86.78;86.51;86.44;86.48;86.25;86.0;86.58;86.44;85.94;85.77;85.7;85.34;84.92;85.78;85.8;85.68;85.21;85.05;85.48;85.51;84.49;84.15;83.52;83.7;82.93;82.85;86.54;87.03;86.98;86.33;86.97;88.27;87.0;86.78;87.27;88.0;87.21;88.58;89.81;89.75;89.16;88.52;88.93;90.01;89.52;89.34;90.41;90.06;90.1;89.73;89.65;89.87;89.6;88.24;89.0;89.38;88.86;89.5;89.58;89.19;89.33;90.61;89.92;89.87;90.22;90.02;90.33;91.21;90.79;90.0;90.84;90.99;90.2;90.04;90.24;90.03;89.2;90.27;90.08;90.42;89.53;89.67;90.1;90.33;89.13;89.12;89.22;89.6;88.85;88.45;82.47;83.38;83.78;82.59;83.09;83.33;82.86;82.35;82.92;82.25;82.95;82.89;83.86;84.38;84.61;84.48;84.88;85.21;83.52;84.85;84.44;84.57;84.5;83.88;84.14;83.86;84.4;83.93;84.96;85.12;84.71;85.36;84.6;83.02;83.6;84.3;84.24;83.47;83.13;82.79;82.31;81.47;81.43;81.75;82.06;81.59;81.42;81.23;80.88;80.34;80.36;81.0;81.26;80.68;80.63;80.17;80.6;80.44;79.59;78.92;77.52;77.49;76.72;76.99;
        De 30 a 34 años;89.09;88.14;88.74;88.94;89.48;89.87;89.94;90.46;90.19;90.21;91.61;91.43;91.18;90.42;90.93;91.23;91.28;90.33;90.65;90.89;90.71;90.32;90.44;90.18;90.15;89.84;90.65;90.11;90.07;89.8;89.65;89.32;88.85;88.41;88.97;89.17;89.0;88.29;88.86;88.43;88.16;87.2;86.95;87.13;87.35;86.19;86.48;86.5;86.07;85.36;86.25;85.19;86.38;85.81;85.59;85.31;85.72;84.84;84.74;84.52;83.96;83.75;83.82;83.32;93.7;93.04;93.34;93.25;94.28;94.72;94.29;94.84;94.0;94.78;95.47;94.82;94.97;94.18;94.49;94.08;95.04;94.14;93.93;94.39;94.76;94.65;94.9;94.43;94.5;94.65;94.36;94.59;94.72;94.6;94.95;94.57;94.02;93.65;94.54;94.61;95.17;94.63;94.92;95.01;95.05;94.3;94.12;94.22;94.16;93.87;94.21;94.54;94.59;94.33;94.86;94.13;94.93;94.74;95.2;94.73;95.11;94.98;94.87;94.6;94.57;94.9;94.59;94.41;84.56;83.32;84.21;84.7;84.74;85.07;85.64;86.11;86.41;85.65;87.74;88.02;87.38;86.64;87.35;88.37;87.47;86.46;87.31;87.31;86.55;85.85;85.81;85.76;85.6;84.81;86.76;85.4;85.16;84.72;84.02;83.73;83.34;82.81;83.01;83.34;82.37;81.46;82.33;81.36;80.77;79.57;79.26;79.54;80.06;77.98;78.22;77.91;76.97;75.76;77.05;75.67;77.31;76.37;75.44;75.38;75.85;74.18;74.11;73.98;72.9;72.16;72.64;71.84;
        De 35 a 39 años;90.09;90.19;90.1;90.74;90.92;90.66;91.31;91.2;91.29;90.33;90.99;90.41;90.89;90.42;90.89;90.53;90.53;89.95;90.45;90.8;90.59;89.87;89.97;90.11;89.72;89.14;89.4;89.38;88.92;88.35;88.82;87.88;87.35;86.8;87.61;87.38;86.64;85.7;85.5;86.01;85.43;84.39;85.19;85.08;85.06;84.26;85.13;84.51;83.77;82.96;82.91;83.13;83.87;82.85;82.94;82.82;82.44;81.67;82.16;81.78;80.9;80.73;80.85;79.76;94.58;95.06;94.67;95.42;95.46;95.41;95.0;95.41;95.39;94.95;95.46;95.09;95.47;95.2;95.54;94.73;94.98;95.3;94.93;95.38;95.0;94.93;94.92;94.76;95.12;95.21;94.97;95.13;94.84;95.08;94.89;94.39;94.22;93.72;94.38;94.18;93.81;94.13;94.43;95.04;94.47;94.79;95.05;94.73;94.51;94.93;95.72;94.98;94.54;94.64;95.08;94.65;95.11;94.76;94.86;94.96;95.02;94.57;95.29;94.88;94.68;94.76;95.34;94.64;85.58;85.29;85.5;86.01;86.31;85.84;87.55;86.9;87.1;85.58;86.38;85.59;86.17;85.48;86.06;86.18;85.9;84.37;85.76;86.0;85.95;84.55;84.74;85.2;84.0;82.7;83.51;83.28;82.64;81.2;82.36;80.96;80.03;79.43;80.39;80.13;79.0;76.72;76.0;76.4;75.82;73.35;74.75;74.89;75.12;73.03;74.0;73.53;72.5;70.75;70.21;71.15;72.22;70.55;70.65;70.32;69.53;68.44;68.72;68.39;66.86;66.45;66.13;64.68;
        De 40 a 44 años;89.66;89.02;89.9;90.06;89.82;89.41;89.81;89.47;88.9;88.14;89.58;88.92;89.3;88.22;88.42;88.02;88.88;87.8;87.9;87.83;87.87;87.26;87.48;87.83;87.25;86.69;86.76;86.65;86.46;85.42;86.41;86.09;86.25;85.22;85.18;85.37;85.17;83.6;84.27;83.9;83.37;82.7;83.75;83.54;82.56;81.81;81.89;81.99;81.58;80.77;81.98;81.14;81.42;80.93;80.93;80.64;81.07;80.55;80.36;79.46;79.75;78.64;78.59;78.34;94.18;93.75;94.0;94.4;94.48;94.11;94.51;94.62;94.31;94.79;94.79;94.24;94.56;94.12;94.02;93.35;93.96;93.52;93.28;93.64;93.53;93.37;93.91;93.83;94.08;93.91;94.09;93.99;94.11;94.07;94.74;93.86;93.55;92.87;93.26;93.86;93.51;93.16;93.97;93.57;93.3;93.23;93.99;93.52;93.1;92.78;93.03;93.92;93.16;93.27;93.81;93.95;93.91;93.89;94.07;93.99;94.78;94.69;94.82;94.16;94.25;93.99;93.71;93.77;85.02;84.16;85.68;85.59;85.02;84.57;84.96;84.15;83.32;81.28;84.2;83.42;83.85;82.11;82.62;82.51;83.61;81.87;82.32;81.79;82.0;80.9;80.8;81.59;80.14;79.19;79.14;79.03;78.5;76.43;77.75;78.03;78.69;77.3;76.82;76.59;76.54;73.71;74.25;73.92;73.14;71.86;73.23;73.3;71.76;70.59;70.52;69.83;69.79;68.05;69.97;68.17;68.78;67.83;67.68;67.19;67.28;66.33;65.84;64.73;65.21;63.29;63.48;62.96;
        De 45 a 49 años;86.35;85.84;85.88;86.31;86.42;86.18;86.84;86.46;86.36;85.75;86.47;85.8;85.71;85.27;86.13;85.23;85.06;85.17;86.03;85.57;85.89;85.1;85.34;85.05;84.71;83.46;83.95;84.09;83.63;83.34;83.89;83.4;82.59;82.27;82.93;82.77;81.94;81.2;81.36;80.6;80.3;79.79;79.99;79.98;79.52;79.14;79.14;78.62;78.59;77.08;77.65;76.28;77.36;76.35;76.29;76.31;76.13;75.69;75.58;75.77;75.15;75.22;74.9;73.87;91.82;91.53;91.85;91.71;91.73;92.18;92.51;92.33;92.16;91.85;92.91;91.9;92.34;92.34;92.46;91.7;91.73;92.05;91.85;91.9;92.18;92.41;92.46;91.93;92.39;91.75;91.53;91.56;91.35;92.01;92.12;92.07;91.71;91.84;92.46;92.54;91.83;92.26;92.76;91.74;91.81;91.65;92.1;92.38;92.5;92.81;92.67;92.45;92.53;92.06;91.72;90.32;91.69;91.59;91.48;91.27;91.79;91.82;91.33;91.77;91.36;91.7;91.49;91.54;80.78;80.06;79.82;80.83;81.02;80.09;81.08;80.5;80.46;79.57;79.94;79.61;78.99;78.09;79.72;78.67;78.32;78.2;80.13;79.17;79.53;77.7;78.13;78.07;76.92;75.06;76.27;76.53;75.83;74.57;75.57;74.63;73.38;72.61;73.31;72.92;71.97;70.04;69.88;69.39;68.73;67.89;67.86;67.57;66.54;65.47;65.62;64.8;64.67;62.12;63.61;62.3;63.09;61.18;61.2;61.47;60.6;59.7;59.97;59.92;59.1;58.9;58.47;56.37;
        De 50 a 54 años;82.23;81.27;81.8;81.94;81.8;80.97;81.97;81.33;81.32;81.03;81.98;81.32;81.63;79.79;80.6;80.62;80.47;80.0;79.96;80.21;79.41;79.44;79.27;79.55;78.5;78.38;78.48;78.0;77.94;77.14;77.45;76.64;76.13;74.99;75.17;74.97;74.76;73.79;74.35;74.03;73.87;73.58;72.99;72.51;71.87;70.94;71.07;70.77;70.09;69.96;70.09;70.09;69.48;68.54;68.99;67.98;67.4;66.88;66.5;66.54;65.77;65.32;65.12;64.78;89.61;89.13;89.78;89.57;89.54;89.28;89.7;89.04;89.08;89.63;89.46;89.36;89.11;88.02;88.68;88.96;88.87;88.64;88.67;88.9;87.97;88.84;88.89;88.41;88.54;88.61;88.47;88.57;88.38;88.06;88.44;87.69;87.98;87.81;88.28;88.09;87.73;88.05;88.48;88.35;88.48;88.17;88.68;88.52;87.95;87.44;87.34;88.04;87.72;88.39;88.59;87.9;87.78;87.96;88.38;87.5;87.37;87.94;87.86;87.64;86.99;86.88;87.05;86.82;74.91;73.48;73.89;74.38;74.13;72.73;74.31;73.7;73.63;72.51;74.58;73.38;74.22;71.65;72.61;72.37;72.16;71.44;71.34;71.61;70.93;70.14;69.76;70.79;68.58;68.25;68.6;67.55;67.62;66.35;66.58;65.73;64.42;62.33;62.21;62.02;61.96;59.73;60.41;59.9;59.47;59.21;57.51;56.73;56.02;54.67;55.03;53.75;52.72;51.8;51.89;52.58;51.48;49.44;49.94;48.81;47.78;46.2;45.53;45.84;44.96;44.18;43.65;43.2;
