Encuesta de Población Activa
Parados
Tasas de paro por sexo y grupo de edad
Unidades:   Tasas

;Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;2017T4;2017T3;2017T2;2017T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2013T4;2013T3;2013T2;2013T1;2012T4;2012T3;2012T2;2012T1;2011T4;2011T3;2011T2;2011T1;2010T4;2010T3;2010T2;2010T1;2009T4;2009T3;2009T2;2009T1;2008T4;2008T3;2008T2;2008T1;2007T4;2007T3;2007T2;2007T1;2006T4;2006T3;2006T2;2006T1;2005T4;2005T3;2005T2;2005T1;2004T4;2004T3;2004T2;2004T1;2003T4;2003T3;2003T2;2003T1;2002T4;2002T3;2002T2;2002T1;
        Total;16.55;16.38;17.22;18.75;18.63;18.91;20.0;21.0;20.9;21.18;22.37;23.78;23.7;23.67;24.47;25.93;25.73;25.65;26.06;26.94;25.77;24.79;24.4;24.19;22.56;21.28;20.64;21.08;20.11;19.59;19.89;19.84;18.66;17.75;17.77;17.24;13.79;11.23;10.36;9.6;8.57;8.01;7.93;8.42;8.26;8.08;8.44;9.03;8.71;8.41;9.32;10.17;10.53;10.74;11.09;11.5;11.37;11.3;11.28;11.99;11.61;11.49;11.15;11.55;14.97;14.8;15.64;17.22;17.22;17.39;18.41;19.45;19.49;19.9;20.96;22.74;22.8;22.53;23.7;25.37;25.04;25.19;25.5;26.66;25.4;24.54;24.43;23.96;22.26;20.9;20.42;20.6;19.8;19.12;19.56;19.8;18.56;17.62;17.56;16.85;12.96;10.29;9.06;7.9;6.89;6.25;6.15;6.34;6.12;6.05;6.38;6.86;6.73;6.56;7.41;7.84;7.83;8.2;8.33;8.68;8.58;8.39;8.27;8.76;8.65;8.33;7.86;8.36;18.35;18.21;19.04;20.51;20.25;20.66;21.82;22.78;22.52;22.69;24.01;24.98;24.74;25.01;25.38;26.57;26.53;26.18;26.71;27.26;26.22;25.1;24.36;24.46;22.92;21.75;20.92;21.66;20.51;20.18;20.3;19.9;18.8;17.91;18.04;17.76;14.85;12.48;12.08;11.88;10.82;10.39;10.35;11.23;11.17;10.91;11.28;12.03;11.47;11.04;12.0;13.46;14.35;14.36;15.03;15.55;15.41;15.54;15.68;16.73;16.0;16.2;16.04;16.35;
        De 16 a 19 años;54.2;50.41;55.98;58.74;58.67;54.69;63.52;64.12;66.09;63.73;69.36;70.45;67.28;66.71;70.39;70.16;75.53;72.15;73.0;75.63;73.88;71.89;73.19;71.44;69.15;60.38;62.53;65.3;63.67;59.99;62.15;59.54;57.47;53.52;56.18;54.25;45.83;38.34;40.96;32.82;31.08;27.21;29.19;27.59;31.23;24.87;31.22;29.68;27.83;26.88;31.07;31.21;29.04;29.28;32.16;32.45;32.07;31.49;34.13;33.85;31.55;30.06;29.48;28.42;53.79;51.87;54.67;56.78;54.62;53.45;61.79;66.16;62.49;61.51;66.49;68.93;63.28;62.91;68.71;68.25;74.85;70.69;68.75;75.26;72.95;71.28;72.97;71.05;69.19;61.47;63.92;64.08;62.37;58.95;60.59;58.92;56.78;53.12;56.7;52.73;44.69;35.53;35.22;28.5;26.76;22.93;24.2;21.99;25.44;19.8;25.22;25.66;23.47;22.04;26.26;26.7;24.4;26.71;27.49;27.69;27.52;26.22;29.41;29.06;26.76;26.53;24.09;24.09;54.74;48.34;57.81;61.77;64.02;56.3;65.96;61.24;70.97;66.77;73.23;72.46;72.04;71.38;72.75;72.72;76.43;73.93;79.11;76.18;75.06;72.69;73.46;71.94;69.11;58.92;60.79;67.02;65.42;61.42;64.38;60.48;58.64;54.08;55.38;56.43;47.35;42.17;48.75;39.31;37.5;33.28;37.05;36.39;39.81;32.66;38.96;35.38;34.23;34.27;38.1;39.35;36.92;33.95;39.89;40.06;39.71;40.03;42.13;41.98;40.22;36.3;38.45;35.22;
        De 20 a 24 años;33.95;32.69;36.15;38.37;39.83;39.27;43.33;43.26;42.52;42.89;45.26;47.74;48.88;49.54;49.99;52.86;50.93;50.14;52.62;53.39;51.41;47.68;48.7;47.71;44.05;42.0;42.17;41.14;38.33;35.95;36.96;36.31;34.67;34.54;33.26;30.63;24.5;19.8;18.56;17.75;15.18;14.91;14.78;15.02;14.11;14.46;14.54;15.85;16.17;15.4;17.27;19.23;19.31;19.57;20.11;20.3;20.66;19.76;19.26;20.85;21.03;19.89;19.49;20.42;34.14;33.84;37.45;39.46;40.29;39.35;42.59;41.53;41.93;43.11;46.49;49.25;49.27;50.16;50.79;53.66;51.56;50.09;53.61;55.57;52.58;48.43;49.87;50.08;46.18;43.16;44.4;43.49;40.35;36.84;38.55;39.03;36.66;35.24;34.94;31.48;25.3;19.8;17.79;16.49;13.37;12.53;12.06;11.67;10.67;11.88;12.46;14.23;13.91;12.69;14.67;16.09;15.81;15.84;17.24;17.21;17.41;17.0;16.2;17.69;18.18;16.21;14.75;16.73;33.74;31.37;34.69;37.15;39.31;39.18;44.18;45.23;43.2;42.65;43.94;46.02;48.44;48.83;49.09;51.96;50.22;50.2;51.51;51.02;50.12;46.85;47.45;45.15;41.73;40.76;39.75;38.59;36.09;34.97;35.12;33.27;32.43;33.74;31.32;29.62;23.56;19.81;19.47;19.27;17.33;17.72;18.07;19.12;18.2;17.56;17.04;17.8;18.97;18.69;20.42;23.1;23.7;24.14;23.64;24.23;24.76;23.21;23.08;24.8;24.52;24.4;25.37;25.12;
        De 25 a 29 años;21.71;22.5;22.9;24.77;24.05;23.94;26.0;28.39;27.57;27.84;28.41;30.18;29.77;28.75;30.01;32.76;32.39;31.77;33.76;35.09;33.66;31.6;30.4;30.37;27.29;25.82;25.48;26.66;25.37;24.44;24.0;24.98;23.34;21.74;20.72;21.01;16.61;13.88;11.79;11.1;9.82;8.71;8.09;9.21;9.69;9.37;9.94;11.27;10.61;10.26;11.18;11.86;11.95;12.54;12.94;14.18;13.95;13.94;13.84;14.98;14.63;14.15;13.87;14.37;20.88;21.02;21.88;24.0;23.16;22.59;25.48;27.74;28.85;27.78;28.89;30.06;30.25;28.54;30.27;33.41;33.93;33.26;34.65;36.02;34.55;33.69;33.35;32.32;28.25;26.75;26.25;27.62;26.3;25.11;25.44;26.93;24.66;23.63;22.25;22.8;17.84;13.93;11.66;10.12;7.96;7.5;6.64;7.79;8.12;7.57;7.64;8.45;8.68;8.63;9.26;9.83;9.43;10.4;10.0;11.44;10.75;10.61;10.29;11.39;11.34;10.49;10.41;10.7;22.57;24.05;23.96;25.59;24.99;25.36;26.54;29.08;26.23;27.91;27.91;30.31;29.25;28.97;29.74;32.08;30.79;30.19;32.81;34.11;32.71;29.36;27.23;28.27;26.26;24.79;24.63;25.62;24.36;23.71;22.44;22.85;21.89;19.63;19.0;18.99;15.23;13.83;11.94;12.22;11.99;10.15;9.81;10.87;11.54;11.5;12.64;14.59;12.91;12.19;13.46;14.26;14.91;15.06;16.4;17.41;17.71;17.89;18.04;19.25;18.61;18.59;18.08;18.79;
        De 30 a 34 años;16.71;15.73;16.59;17.54;18.46;18.45;19.63;20.38;20.25;20.21;21.96;24.11;23.35;23.05;23.86;25.85;26.06;25.43;25.26;26.79;26.26;24.7;23.81;23.92;22.43;20.82;20.79;21.13;19.58;18.91;19.0;19.4;17.87;16.91;17.19;16.46;13.17;10.07;9.49;8.35;7.61;7.03;6.93;7.93;7.35;7.58;8.25;8.13;7.95;7.14;7.99;8.86;9.79;9.94;10.43;11.15;10.79;11.23;10.79;11.51;10.56;10.87;10.43;11.22;15.32;14.38;15.85;15.89;17.13;17.15;17.84;18.54;18.11;18.97;20.7;23.12;22.45;22.25;23.18;24.82;25.31;25.01;24.96;27.11;27.22;24.85;24.65;24.35;22.73;20.94;20.47;20.71;19.72;18.45;19.16;19.66;17.7;17.09;17.19;16.42;12.35;9.0;8.05;6.42;6.04;5.33;5.53;5.67;5.5;5.67;6.18;5.75;6.42;5.43;6.19;6.33;6.52;7.57;7.99;8.2;7.73;7.99;7.63;7.73;7.08;7.69;7.46;7.71;18.22;17.21;17.41;19.33;19.93;19.87;21.58;22.39;22.57;21.59;23.33;25.18;24.34;23.92;24.59;26.94;26.87;25.89;25.59;26.44;25.17;24.53;22.84;23.42;22.08;20.68;21.17;21.62;19.42;19.45;18.82;19.1;18.08;16.69;17.19;16.52;14.18;11.4;11.27;10.77;9.6;9.18;8.71;10.8;9.67;10.03;10.91;11.23;9.96;9.41;10.34;12.19;14.05;13.04;13.69;15.06;14.83;15.57;15.03;16.58;15.26;15.23;14.45;15.98;
        De 35 a 39 años;13.87;13.44;14.15;15.99;15.86;15.91;16.4;18.16;17.73;17.2;19.47;20.57;20.27;20.65;20.7;22.76;22.29;22.22;22.8;23.49;22.55;21.14;21.16;21.63;20.25;18.86;17.68;18.49;17.81;18.21;18.09;18.4;17.4;15.66;15.83;16.2;12.03;9.65;8.44;8.17;6.64;6.66;6.86;7.75;7.26;6.92;6.95;7.32;7.17;7.2;7.62;8.82;9.9;9.54;9.41;10.87;10.13;9.38;10.07;10.71;9.7;9.73;9.58;9.82;11.35;11.42;12.02;13.85;13.99;14.35;13.87;15.62;15.41;15.37;17.72;19.72;18.8;18.71;19.95;21.63;20.32;21.21;21.36;22.29;20.8;20.3;20.67;21.01;19.1;17.91;17.07;17.5;16.7;16.92;16.45;16.83;16.85;15.92;15.71;15.5;10.87;8.45;6.97;6.46;5.18;4.84;4.89;5.71;4.7;4.99;5.18;5.18;4.88;5.02;5.74;6.62;6.75;6.58;6.42;7.66;7.26;6.49;6.69;7.09;6.25;6.45;5.76;6.08;16.67;15.71;16.54;18.39;17.96;17.68;19.2;21.0;20.34;19.3;21.46;21.53;21.94;22.88;21.57;24.04;24.55;23.4;24.46;24.88;24.59;22.13;21.73;22.36;21.63;20.02;18.42;19.69;19.18;19.81;20.09;20.35;18.1;15.33;15.98;17.08;13.5;11.22;10.4;10.43;8.58;9.16;9.51;10.47;10.65;9.55;9.35;10.21;10.29;10.24;10.29;11.88;14.2;13.64;13.54;15.33;14.17;13.48;14.86;15.84;14.68;14.49;15.18;15.38;
        De 40 a 44 años;13.09;12.98;13.8;15.98;15.07;15.71;17.11;17.37;17.29;17.09;18.39;20.28;20.83;19.84;21.42;22.31;22.07;22.18;22.33;23.62;22.8;21.66;21.66;21.46;20.51;18.71;18.3;18.12;17.38;17.07;17.36;16.59;16.01;14.81;15.36;14.51;12.25;9.39;8.79;8.28;7.31;6.23;6.5;6.81;6.67;6.5;6.86;7.48;6.74;6.39;7.1;8.28;8.26;8.32;9.34;8.59;8.65;8.57;8.62;8.65;8.95;8.66;8.21;8.85;10.51;10.06;10.96;13.19;13.3;13.63;15.02;15.02;15.03;14.87;15.35;17.57;18.43;17.88;19.44;20.94;20.44;21.32;21.27;22.63;22.28;20.68;20.55;19.29;19.42;17.66;17.42;17.17;16.5;16.59;16.95;16.66;15.66;14.28;14.63;14.0;10.59;8.06;7.0;5.6;4.94;4.39;4.71;4.89;4.66;4.61;4.68;5.04;4.04;4.88;5.13;5.26;5.0;5.06;5.82;5.5;6.09;5.55;5.65;6.11;6.62;6.02;5.52;6.04;16.03;16.32;17.0;19.14;17.1;18.09;19.5;20.09;19.93;19.77;21.92;23.44;23.63;22.17;23.74;23.91;23.97;23.19;23.57;24.79;23.41;22.83;22.99;24.05;21.84;20.01;19.4;19.29;18.49;17.69;17.87;16.5;16.44;15.46;16.27;15.15;14.36;11.13;11.13;11.79;10.43;8.69;8.85;9.32;9.34;9.04;9.79;10.83;10.42;8.5;9.77;12.5;12.77;12.87;14.27;12.95;12.27;12.9;12.92;12.34;12.33;12.57;12.18;13.02;
        De 45 a 49 años;14.24;14.08;14.99;16.94;16.01;16.6;16.62;18.68;18.76;19.0;20.41;21.72;20.64;20.89;22.18;23.23;22.23;22.6;23.45;23.45;21.88;21.5;21.12;20.4;19.08;17.66;16.68;17.75;15.98;15.09;15.99;16.2;14.42;13.38;13.94;13.95;10.64;8.29;7.81;7.25;7.04;6.33;5.86;5.89;5.88;5.56;5.33;6.46;6.49;5.96;6.49;7.37;7.84;7.88;7.92;7.87;7.96;7.47;8.0;8.7;8.26;8.05;7.78;7.68;12.39;12.12;12.58;14.31;13.64;14.34;14.12;16.86;16.5;17.05;17.56;19.14;19.31;19.39;21.07;22.54;21.59;22.0;22.45;22.69;20.89;20.58;20.53;19.81;17.79;16.8;16.02;16.2;14.57;14.13;14.56;15.25;13.8;12.47;13.33;13.47;9.86;7.98;7.05;6.12;5.71;4.73;4.15;3.94;4.02;3.66;3.7;4.77;4.51;4.27;4.3;5.5;5.68;5.96;5.52;5.29;5.09;4.84;5.17;5.01;5.19;4.59;4.6;5.49;16.39;16.36;17.8;19.96;18.72;19.25;19.51;20.81;21.39;21.29;23.76;24.74;22.23;22.7;23.48;24.04;23.0;23.33;24.61;24.34;23.05;22.61;21.83;21.11;20.64;18.73;17.47;19.63;17.7;16.28;17.75;17.39;15.22;14.53;14.71;14.57;11.64;8.7;8.83;8.76;8.83;8.49;8.18;8.57;8.46;8.26;7.63;8.87;9.32;8.46;9.65;10.08;10.97;10.74;11.48;11.66;12.25;11.47;12.26;14.3;12.96;13.4;12.72;11.2;
        De 50 a 54 años;14.48;14.23;15.37;16.76;16.44;16.82;18.07;18.17;17.77;18.5;19.24;20.17;20.01;20.07;20.8;21.54;21.95;21.39;20.77;21.07;20.07;20.19;19.41;19.17;17.17;16.45;15.51;15.69;15.47;13.9;15.04;14.46;13.46;12.45;12.78;12.14;9.63;8.0;7.74;7.55;6.7;5.93;6.38;6.58;6.15;5.86;6.12;6.55;5.68;5.68;6.24;6.62;7.34;7.12;7.38;7.45;7.38;6.99;7.14;8.1;7.43;7.67;7.93;7.69;12.64;12.43;13.42;15.1;14.52;14.76;16.53;16.88;16.47;17.85;18.3;19.53;19.43;18.68;19.98;21.35;21.23;20.49;20.23;21.29;19.61;20.09;19.59;18.84;17.23;15.83;15.46;15.51;15.27;13.65;14.5;14.53;13.24;11.94;11.28;10.37;8.33;6.77;6.21;5.96;5.47;4.28;4.53;4.82;4.05;3.55;4.03;4.51;4.4;4.21;5.43;5.03;5.71;5.34;5.36;5.56;5.94;5.17;5.33;5.73;5.64;5.27;5.68;5.29;16.66;16.39;17.72;18.73;18.73;19.33;19.91;19.7;19.32;19.3;20.35;20.94;20.7;21.76;21.79;21.77;22.83;22.5;21.43;20.79;20.63;20.32;19.19;19.59;17.1;17.25;15.57;15.93;15.72;14.23;15.74;14.36;13.76;13.16;14.87;14.61;11.45;9.79;9.96;9.85;8.52;8.34;9.19;9.28;9.4;9.49;9.38;9.84;7.77;8.13;7.6;9.25;10.08;10.24;10.91;10.78;9.96;10.4;10.56;12.54;10.84;12.29;12.34;12.4;
