       1946           585381.
       1947           588732.
       1948           642041.
       1949           601759.
       1950           565378.
       1951           567474.
       1952           593019.
       1953           589188.
       1954           577886.
       1955           598970.
       1956           608121.
       1957           646784.
       1958           653216.
       1959           654474.
       1960           663375.
       1961           654616.
       1962           658816.
       1963           671520.
       1964           697697.
       1965           676361.
       1966           669919.
       1967           680125.
       1968           667311.
       1969           666568.
       1970           663667.
       1971           672092.
       1972           672405.
       1973           672963.
       1974           688711.
       1975           669378.
       1976           677456.
       1977           656357.
       1978           636892.
       1979           601992.
       1980           571018.
       1981           533008.
       1982           515706.
       1983           485352.
       1984           473281.
       1985           456298.
       1986           438750.
       1987           426782.
       1988           418919.
       1989           408434.
       1990           401425.
       1991           395989.
       1992           396747.
       1993           385786.
       1994           370148.
       1995           363469.
       1996           362626.
       1997           361811.
       1998           365193. 
       1999           380130. 
       2000           395756. 
